trait,country,admin1,admin2,collection_date,latitude,longitude,location_used
OR857851|A/Sula_leucogaster/Sao_Francisco_do_Sul/2122-N/2023|H5N1|Brazil-SC|2023-09-27|wild_avian|B3.2,Brazil,SC,Sao_Francisco_do_Sul,2023-09-27,-26.216361,-48.588686,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP768660|A/Pluvialis_dominica/BertiogaBR/2252-N/2023|H5N1|Brazil-SP|2023-11-08|wild_avian|B3.2,Brazil,SP,Bertioga,2023-11-08,-23.791761,-45.991416,precise (https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/)
EPI_ISL_19215190|A/Procellaria_aequinoctialis/Sao_Paulo/2271-N/2023|H5N1|Brazil-SP|2023-11-10|wild_avian|B3.2,Brazil,SP,Ubatuba,2023-11-10,-23.519727,-45.194599,precise (https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/)
OR853751|A/Thalasseus_maximus/Ubatuba/1546-N/2023|H5N1|Brazil-SP|2023-06-05|wild_avian|B3.2,Brazil,SP,Ubatuba,2023-06-05,-23.431739,-45.074222,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP780174|A/Thalasseus_acuflavidus/BertiogaBR/0291-N/2024|H5N1|Brazil-SP|2024-02-22|wild_avian|B3.2,Brazil,SP,Bertioga,2024-02-22,-23.75938611,-45.90685278,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP778505|A/Thalasseus_maximus/PraiaGrandeBR/2339-N/2023|H5N1|Brazil-SP|2023-12-13|wild_avian|B3.2,Brazil,SP,Praia Grande,2023-12-13,-24.00714444,-46.42023056,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PV305088|A/Canada_Goose/AB/FAV-0026-14-2023/2022|H5N1|Canada-AB|2022-12-05|wild_avian|B3.2,Canada,AB,Unknown,2022-12-05,NA,NA,
PV318944|A/Striped_Skunk/AB/FAV-0272-2-2023/2023|H5N1|Canada-AB|2023-05-12|other_mammal|B3.2,Canada,AB,Unknown,2023-05-12,NA,NA,
PV317592|A/Snow_Goose/AB/FAV-0505-32-2022/2022|H5N1|Canada-AB|2022-04-29|wild_avian|B3.2,Canada,AB,Unknown,2022-04-29,NA,NA,
PV304264|A/Black-Billed_Magpie/AB/FAV-0505-53-2022/2022|H5N1|Canada-AB|2022-05-05|wild_avian|B3.2,Canada,AB,Unknown,2022-05-05,NA,NA,
PV321824|A/Western_Grebe/AB/FAV-0833-72-2022/2022|H5N1|Canada-AB|2022-06-23|wild_avian|B3.2,Canada,AB,Unknown,2022-06-23,NA,NA,
PV321872|A/Western_Grebe/AB/FAV-0833-78-2022/2022|H5N1|Canada-AB|2022-06-23|wild_avian|B3.2,Canada,AB,Unknown,2022-06-23,NA,NA,
PV319064|A/Striped_Skunk/AB/FAV-0897-2-2022/2022|H5N1|Canada-AB|2022-07-19|other_mammal|B3.2,Canada,AB,Unknown,2022-07-19,NA,NA,
PV309264|A/Domestic_bird/AB/FAV-0906-1-2022/2022|H5N1|Canada-AB|2022-08-25|domestic_avian|B3.2,Canada,AB,Unknown,2022-08-25,NA,NA,
PV304312|A/Black-Billed_Magpie/AB/FAV-0918-11-2022/2022|H5N1|Canada-AB|2022-05-10|wild_avian|B3.2,Canada,AB,Unknown,2022-05-10,NA,NA,
PV320424|A/Turkey/AB/FAV-0962-1-2022/2022|H5N1|Canada-AB|2022-09-22|domestic_avian|B3.2,Canada,AB,Unknown,2022-09-22,NA,NA,
PV305552|A/Canada_Goose/AB/FAV-1258-5-2022/2022|H5N1|Canada-AB|2022-10-05|wild_avian|B3.2,Canada,AB,Unknown,2022-10-05,NA,NA,
PV315832|A/Poultry/AB/FAV-1411-1-2022/2022|H5N1|Canada-AB|2022-11-09|domestic_avian|B3.2,Canada,AB,Unknown,2022-11-09,NA,NA,
PV314216|A/Layer_chicken/AB/FAV-1445-2-2022/2022|H5N1|Canada-AB|2022-11-15|domestic_avian|B3.2,Canada,AB,Unknown,2022-11-15,NA,NA,
PV309456|A/Domestic_bird/AB/FAV-1654-2022/2022|H5N1|Canada-AB|2022-12-14|domestic_avian|B3.2,Canada,AB,Unknown,2022-12-14,NA,NA,
PV301481|A/Striped_Skunk/AB/OTH-0136-1-2022/2022|H5N1|Canada-AB|2022-09-14|other_mammal|B3.2,Canada,AB,Unknown,2022-09-14,NA,NA,
PV312592|A/Great_Horned_Owl/AB/FAV-0023-1-2024/2023|H5N1|Canada-AB|2023-10-26|wild_avian|B3.2,Canada,AB,Unknown,2023-10-26,NA,NA,
PV305176|A/Canada_Goose/AB/FAV-0083-4-2023/2023|H5N1|Canada-AB|2023-01-18|wild_avian|B3.2,Canada,AB,Unknown,2023-01-18,NA,NA,
PV304208|A/Black-Billed_Magpie/AB/FAV-0083-6-2023/2023|H5N1|Canada-AB|2023-01-25|wild_avian|B3.2,Canada,AB,Unknown,2023-01-25,NA,NA,
PV318880|A/Striped_Skunk/AB/FAV-0085-1-2023/2023|H5N1|Canada-AB|2023-02-01|other_mammal|B3.2,Canada,AB,Unknown,2023-02-01,NA,NA,
PV318888|A/Striped_Skunk/AB/FAV-0085-2-2023/2023|H5N1|Canada-AB|2023-02-14|other_mammal|B3.2,Canada,AB,Unknown,2023-02-14,NA,NA,
PV301473|A/Striped_Skunk/AB/FAV-0188-1-2023/2023|H5N1|Canada-AB|2023-04-05|other_mammal|B3.2,Canada,AB,Unknown,2023-04-05,NA,NA,
PV318928|A/Striped_Skunk/AB/FAV-0188-2-2023/2023|H5N1|Canada-AB|2023-04-17|other_mammal|B3.2,Canada,AB,Unknown,2023-04-17,NA,NA,
PV317584|A/Snow_Goose/AB/FAV-0505-21-2022/2022|H5N1|Canada-AB|2022-04-27|wild_avian|B3.2,Canada,AB,Unknown,2022-04-27,NA,NA,
PV317648|A/Snow_Goose/AB/FAV-0937-5-2022/2022|H5N1|Canada-AB|2022-08-26|wild_avian|B3.2,Canada,AB,Unknown,2022-08-26,NA,NA,
PV305560|A/Canada_Goose/AB/FAV-1258-6-2022/2022|H5N1|Canada-AB|2022-10-05|wild_avian|B3.2,Canada,AB,Unknown,2022-10-05,NA,NA,
EPI_ISL_18665556|A/Barred_Owl/BC/AIVPHL-1008/2023|H5N1|Canada-BC|2023-03-20|wild_avian|B3.2,Canada,BC,Unknown,2023-03-20,NA,NA,
EPI_ISL_18665601|A/Dunlin/BC/AIVPHL-1221/2023|H5N1|Canada-BC|2023-07-14|wild_avian|B3.2,Canada,BC,Unknown,2023-07-14,NA,NA,
PV322688|A/chicken/BC/FAV-0010-1-2023/2023|H5N1|Canada-BC|2023-01-03|domestic_avian|B3.2,Canada,BC,Unknown,2023-01-03,NA,NA,
PV304792|A/Cackling_Goose/BC/FAV-0014-28-2023/2022|H5N1|Canada-BC|2022-11-14|wild_avian|B3.2,Canada,BC,Unknown,2022-11-14,NA,NA,
PV304800|A/Cackling_Goose/BC/FAV-0014-67-2023/2022|H5N1|Canada-BC|2022-10-25|wild_avian|B3.2,Canada,BC,Unknown,2022-10-25,NA,NA,
PV304104|A/Barred_Owl/BC/FAV-0053-23-2022/2022|H5N1|Canada-BC|2022-12-13|wild_avian|B3.2,Canada,BC,Unknown,2022-12-13,NA,NA,
PV317736|A/Snow_Goose/BC/FAV-0053-3-2022/2022|H5N1|Canada-BC|2022-11-06|wild_avian|B3.2,Canada,BC,Unknown,2022-11-06,NA,NA,
PV319168|A/Striped_Skunk/BC/FAV-0173-1-2023/2023|H5N1|Canada-BC|2023-03-27|other_mammal|B3.2,Canada,BC,Unknown,2023-03-27,NA,NA,
PV303304|A/American_White_Pelican/BC/FAV-0585-3-2022/2022|H5N1|Canada-BC|2022-05-27|wild_avian|B3.2,Canada,BC,Unknown,2022-05-27,NA,NA,
PV309608|A/Domestic_bird/BC/FAV-0772-1-2022/2022|H5N1|Canada-BC|2022-06-16|domestic_avian|B3.2,Canada,BC,Unknown,2022-06-16,NA,NA,
