trait,location,latitude,longitude,coordinate_type
A/goose/MI/25-000481-001/2025|H5N1|USA-MI|2025-01-03|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/cat/Minnesota/24-037542-001/2024|H5N1|USA-MN|2024-12-09|feline|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-037987-001/2024|H5N1|USA-MN|2024-12-16|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-037987-002/2024|H5N1|USA-MN|2024-12-16|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-037987-003/2024|H5N1|USA-MN|2024-12-16|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-037988-001/2024|H5N1|USA-MN|2024-12-17|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-037988-002/2024|H5N1|USA-MN|2024-12-17|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-037988-003/2024|H5N1|USA-MN|2024-12-17|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/duck/Minnesota/24-038159-001/2024|H5N1|USA-MN|2024-12-17|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/chicken/Minnesota/24-038159-002/2024|H5N1|USA-MN|2024-12-17|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-038159-003/2024|H5N1|USA-MN|2024-12-17|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/goose/Minnesota/24-038159-004/2024|H5N1|USA-MN|2024-12-17|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-038168-001/2024|H5N1|USA-MN|2024-12-19|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-038168-002/2024|H5N1|USA-MN|2024-12-19|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/turkey/Minnesota/24-038168-003/2024|H5N1|USA-MN|2024-12-19|avian|D1.1,USA-MN,46.0592,-93.364,centroid
A/chicken/Missouri/24-036609-001/2024|H5N1|USA-MO|2024-12-07|avian|D1.1,USA-MO,38.5487,-92.446,centroid
A/chicken/Missouri/24-036609-002/2024|H5N1|USA-MO|2024-12-07|avian|D1.1,USA-MO,38.5487,-92.446,centroid
A/chicken/Missouri/24-037561-001/2024|H5N1|USA-MO|2024-12-14|avian|D1.1,USA-MO,38.5487,-92.446,centroid
A/Chicken/MO/24-038439-001/2024|H5N1|USA-MO|2024-12-23|avian|D1.1,USA-MO,38.5487,-92.446,centroid
A/Chicken/MO/24-038439-002/2024|H5N1|USA-MO|2024-12-23|avian|D1.1,USA-MO,38.5487,-92.446,centroid
